text,correct,relevant,irrelevant,,
"Support: Streak is the color of the powder of a mineral. To do a streak test, you scrape the mineral across an unglazed porcelain plate. The plate is harder than many minerals, causing the minerals to leave a streak of powder on the plate. The color of the streak often differs from the color of the larger mineral sample, as Figure below shows. \n Question: What is the color of the powder of a mineral?",streak,gray,residence time,,
"Support: A: Any element in group 1 has just one valence electron. Examples include hydrogen (H), lithium (Li), and sodium (Na). Any element in group 18 has eight valence electrons (except for helium, which has a total of just two electrons). Examples include neon (Ne), argon (Ar), and krypton (Kr). Oxygen, like all the other elements in group 16, has six valence electrons. \n Question: How many valence electrons does a sodium atom have ?",one,three,atmosphere,,
"Support: When lactose is available, a lactose metabolite called allolactose binds to the allosteric site on the repressor. This interaction causes a conformational change in the repressor shape and the repressor falls off the operator, allowing RNA polymerase to bind to the promoter and initiate transcription. Allolactose is called an inducer because it turns on, or induces the expression of the lac genes. \n Question: Which inducer turns on the expression of the lac genes?",allolactose,xerophyte,endothermic,,
"Support: Elongation is the addition of nucleotides to the mRNA strand. RNA polymerase reads the unwound DNA strand and builds the mRNA molecule, using complementary base pairs. There is a brief time during this process when the newly formed RNA is bound to the unwound DNA. During this process, an adenine (A) in the DNA binds to an uracil (U) in the RNA. \n Question: What is the addition of nucleotides to the mrna strand?",elongation,insertion,metamorphic,,
"Support: Nuclear power is clean. It does not pollute the air. However, the use of nuclear energy does create other environmental problems. Uranium must be mined ( Figure below ). The process of splitting atoms creates radioactive waste. This waste may be dangerous for thousands or hundreds of thousands of years. As yet, there is no long-term solution for storing the radioactive waste. \n Question: The process of splitting atoms creates what kind of waste?",radioactive,recyclable,relative humidity,,
"Support: The most common type of brain injury is a concussion. This is a bruise on the surface of the brain. It may cause temporary symptoms such as headache and confusion. Most concussions heal on their own in a few days or weeks. However, repeated concussions can lead to permanent changes in the brain. More serious brain injuries also often cause permanent brain damage. \n Question: What is the most common type of brain injury?",concussion,Diffuse Axonal,speed,,
"Support: Friction is the force that opposes motion between any surfaces that are in contact. There are four types of friction: static, sliding, rolling, and fluid friction. Static, sliding, and rolling friction occur between solid surfaces. Fluid friction occurs in liquids and gases. All four types of friction are described below. You can see a video demonstration of the different types at this URL:. \n Question: What 3 types of friction occur between solid surfaces?","static, sliding, rolling","static , arching , rolling",mimivirus,,
"Support: You encounter solids and liquids in many forms in your everyday life. Solids, unlike liquids, hold a definite shape. Both solids and liquids hold a definite volume. However, on a molecular level, these two states of matter are quite different. In this lesson we will introduce some of the properties of liquids and solids that affect your interactions with the substances all around you. \n Question: Both solids and liquids hold a definite what?",volume,mass,pathogens,,
"Support: A sex chromosome is a chromosome that determines the sex of an organism. Humans have two sex chromosomes, X and Y . Females have two X chromosomes ( XX ), and males have one X and one Y chromosome ( XY ). An autosome is any chromosome other than a sex chromosome. If a trait is autosomal it will affect males and females equally. \n Question: What chromosome determines the sex of an organism?",sex chromosome,ribosome,electrical conductors,,
"Support: Chemical reactions that consume energy are called endothermic reactions . Energy is usually absorbed from the surroundings as heat. An example is the synthesis of ammonia, described above. In organisms, endothermic reactions are called anabolic reactions . Anabolic reactions construct molecules from smaller units. An example is the synthesis of proteins from amino acids. Endothermic reactions can be represented by the general chemical equation:. \n Question: Chemical reactions that consume energy are called what?",endothermic reactions,exothermic reactions,bituminous,,
"Support: Most amphibians breathe with gills as larvae and with lungs as adults. Additional oxygen is absorbed through the skin in most species. The skin is kept moist by mucus, which is secreted by mucous glands. In some species, mucous glands also produce toxins, which help protect the amphibians from predators. The golden frog shown in Figure below is an example of a toxic amphibian. \n Question: What do most amphibians breathe with as larvae?",gills,pores,atomic radius,,
"Support: The core is the Sun's innermost layer. The core is plasma. It has a temperature of around 15 million degrees Celsius (C). Nuclear fusion reactions create the immense temperature. In these reactions, hydrogen atoms fuse to form helium. This releases vast amounts of energy. The energy moves towards the outer layers of the Sun. Energy from the Sun's core powers most of the solar system. \n Question: What is the suns innermost layer called?",core,surface,embryonic,,
Support: Extrusive igneous rocks form above the surface. The lava cools quickly as it pours out onto the surface ( Figure below ). Extrusive igneous rocks cool much more rapidly than intrusive rocks. The rapid cooling time does not allow time for large crystals to form. So igneous extrusive rocks have smaller crystals than igneous intrusive rocks. Extrusive igneous rocks are also called volcanic rocks . \n Question: Extrusive igneous rocks are also called what?,volcanic rocks,metamorphic,extensive properties,,
"Support: A protein is an organic compound made up of small molecules called amino acids . There are 20 different amino acids commonly found in the proteins of living organisms. Small proteins may contain just a few hundred amino acids, whereas large proteins may contain thousands of amino acids. The largest known proteins are titins, found in muscle, which are composed from over 27,000 amino acids. \n Question: What are the largest known proteins called?",titins,obscures,nitrogen,,
"Support: Nearsightedness, or myopia, is the condition in which nearby objects are seen clearly, but distant objects are blurry. It occurs when the eyeball is longer than normal. This causes images to be focused in front of the retina. Myopia can be corrected with concave lenses. The lenses focus images farther back in the eye, so they are on the retina instead of in front of it. \n Question: What is another term for nearsightedness?",myopia,hypoxia,spores,,
"Support: Nails are similar to claws in other animals. They cover the tips of fingers and toes. Fingernails and toenails both grow from nail beds. As the nail grows, more cells are added at the nail bed. Older cells get pushed away from the nail bed and the nail grows longer. There are no nerve endings in the nail. Otherwise cutting your nails would hurt a lot!. \n Question: Nails cover the tips of what?",fingers and toes,lips and teeth,vegetable,,
"Support: Discussion The minus sign indicates that acceleration is to the left. This sign is reasonable because the train initially has a positive velocity in this problem, and a negative acceleration would oppose the motion. Again, acceleration is in the same direction as the change in velocity, which is negative here. This acceleration can be called a deceleration because it has a direction opposite to the velocity. \n Question: Deceleration is the opposite of what?",acceleration,stopping,positive and negative,,
"Support: The largest known virus, called mimivirus, is so large that scientists first mistook it for a bacterium. It was first discovered in amoeba, in 1992, and was identified as a virus in 2003. Scientists believe that mimivirus may cause certain types of pneumonia in humans. The core contains DNA, with the majority of the DNA in genes, and only 10% DNA of unknown function (""junk"" DNA). \n Question: What is the largest known virus?",mimivirus,polyomavirus,composition,,
"Support: A chemical reaction occurs when some substances change chemically to other substances. Chemical reactions are represented by chemical equations. Consider a simple chemical reaction, the burning of methane. In this reaction, methane (CH 4 ) combines with oxygen (O 2 ) in the air and produces carbon dioxide (CO 2 ) and water vapor (H 2 O). The reaction is represented by the following chemical equation:. \n Question: What are chemical reactions represented by?",chemical equations,liquid equations,osteoporosis,,
"Support: The atomic number of tungsten is 74. Therefore, in a neutral atom of tungsten, there are 74 electrons. The atomic number of argon is 18. Therefore, in a neutral atom of argon, there are 18 electrons. \n Question: The atomic number of tungsten is 74. therefore, in a neutral atom of tungsten, there are 74 electrons. the atomic number of argon is 18. therefore, in a neutral atom of argon, there are how many electrons?",18,74,cathode,,
"Support: Light includes infrared light, visible light, and ultraviolet light. As you can see from the Figure above , light falls roughly in the middle of the electromagnetic spectrum. It has shorter wavelengths and higher frequencies than microwaves, but not as short and high as X rays. \n Question: What falls roughly in the middle of the electromagnetic spectrum, having shorter wavelengths and higher frequencies than microwaves, but not as short and high as x rays?",light,radio waves,confined,,
"Support: Some reactions need extra help to occur quickly. They need another substance, called a catalyst. A catalyst is a substance that increases the rate of a chemical reaction but is not changed or used up in the reaction. The catalyst can go on to catalyze many more reactions. \n Question: What is the term for a substance that increases the rate of a chemical reaction but is not changed or used up in the reaction?",a catalyst,a mechanism,impermeable layer,,
"Support: When geologic and climatic conditions are changing, evolution may occur more quickly. Thus, long periods of little change may be interrupted by bursts of rapid change. This model of the timing of evolution is called punctuated equilibrium . It is better supported by the fossil record than is gradualism. \n Question: Fossil records support the idea that periods of little change may be interrupted by bursts of rapid change, an evolutionary model contrasted by what?",gradualism,elitism,senses,,
"Support: Triglycerides function as a long-term storage form of energy in the human body. Because of the long carbon chains, triglycerides are nearly nonpolar molecules and thus do not dissolve readily in polar solvents such as water. Instead, oils and fats are soluble in nonpolar organic solvents such as hexane and ethers. \n Question: What substances function as a long-term energy store in the human body and possess long carbon chains that prevent dissolving in water?",triglycerides,hydrocarbons,focus light,,
"Support: In eukaryotes, the new mRNA is not yet ready for translation. It must go through more processing before it leaves the nucleus. This may include splicing, editing, and polyadenylation. These processes modify the mRNA in various ways. Such modifications allow a single gene to be used to make more than one protein. \n Question: In eukaryotes, the new mrna is not yet ready for translation. it must go through more processing before it leaves where?",nucleus,Electrons,electromagnetic spectrum,,
"Support: A related mechanism allows us to absorb and digest the fats in buttered popcorn and French fries. To solubilize the fats so that they can be absorbed, the gall bladder secretes a fluid called bile into the small intestine. Bile contains a variety of bile salts, detergent-like molecules that emulsify the fats. \n Question: To solubilize the fats so that they can be absorbed, what organ secretes a fluid called bile into the small intestine?",gall bladder,small intestine,phagocytosis,,
"Support: Visit this website (http://openstaxcollege. org/l/sex_selection) for informative videos on sexual selection. In monogamous systems, one male and one female are paired for at least one breeding season. In some animals, such as the gray wolf, these associations can last much longer, even a lifetime. Several explanations have been proposed for this type of. \n Question: In a monogamous pairing, a male individual is generally paired with what other type of individual in a sexual relationship?",female,worker,kinetic energy,,
"Support: Endocrine system disorders usually involve the secretion of too much or not enough hormone. For example, a tumor of the adrenal gland may lead to excessive secretion of growth hormone, which causes gigantism. In Type 1 diabetes, the pancreas does not secrete enough insulin, which causes high levels of glucose in the blood. \n Question: Which type of diabetes involves the pancreas not secreting enough insulin, which causes high levels of glucose in the blood?",type 1,type 3,vector,,
"Support: Helium has long been used in balloons and blimps. Since it is much less dense than air, it will float above the ground. We can buy small balloons filled with helium at stores, but large ones (such as the balloon seen above) are much more expensive and take up a lot more helium. \n Question: What sort of gas is found in balloons and blimps, and is used to make them float in the sky?",helium,oxygen,energy,,
"Support: After an infection has been brought under control, most cytotoxic T cells die off. However, a few remain as memory cells. If the same pathogen enters the body again, the memory cells mount a rapid immune response. They quickly produce many copies of cytotoxic T cells specific to the antigen of that pathogen. \n Question: After an infection has been brought under control and most cytotoxic t cells die off, a few remain as what?",memory cells,b cells,spectrum,,
"Support: Most scientists agree that global warming is caused by more carbon dioxide in the atmosphere (see Figure below ). This increases the greenhouse effect. There is more carbon dioxide mainly because of the burning of fossil fuels. Destroying forests is another cause. With fewer forests, less carbon dioxide is removed from the atmosphere by photosynthesis. \n Question: The abundance of this substance in the atmosphere is what most scientist agree that is causing global warming?",carbon dioxide,argon,whisk ferns,,
"Support: Amines are weak bases due to the presence of a lone pair of electrons on the nitrogen atom. This lone pair can attract the hydrogen atom from a water molecule, causing the bond between it and the oxygen atom to break. The resultant products are the conjugate acid of the amine and the hydroxide ion. \n Question: Amines are weak bases due to the presence of a lone pair of what on the nitrogen atom?",electrons,protons,abiotic factors,,
"Support: automobile axle drives a wheel, which has a much larger diameter than the axle. The MA is less than 1. (c) An ordinary pulley is used to lift a heavy load. The pulley changes the direction of the force T exerted by the cord without changing its magnitude. Hence, this machine has an MA of 1. \n Question: A pulley changes the direction of the force t exerted by the cord without changing its what?",magnitude,longitude,alveoli,,
"Support: Inside of the nucleus, you will find the chromosomes . Chromosomes are strands of DNA wrapped around proteins. They contain genes , or small units of genetic material (DNA) that contains the code for the creation of a protein. Human cells have 46 chromosomes (23 pairs). There are hundreds to thousands of genes on each chromosome. \n Question: What do you call the strands of dna wrapped around proteins, which are located inside the nucleus?",chromosomes,receptors,gymnosperm,,
"Support: Cleavage is the tendency of a mineral to break along certain planes. When a mineral breaks along a plane, it makes a smooth surface. Minerals with different crystal structures will break or cleave in different ways ( Figure below ). Halite tends to form cubes with smooth surfaces. Mica tends to form sheets. Fluorite can form octahedrons. \n Question: What term is used to describe the tendency of a mineral to break along certain planes?",cleavage,tooth decay,wind,,
"Support: According to the Aufbau process, sublevels and orbitals are filled with electrons in order of increasing energy. Since the s sublevel consists of just one orbital, the second electron simply pairs up with the first electron as in helium. The next element is lithium and necessitates the use of the next available sublevel, the 2 s . \n Question: According to which process, sublevels and orbitals are filled with electrons in order of increasing energy?",aufbau,Schrodinger's cat,interneurons,,
"Support: Mating refers to the union of a male and female of the same species for reproduction. The relationship between mates varies by species. Adults may have many mates, or they may mate with just one individual. Mates may stay together only while mating. Or they may stay together for an entire breeding season or even for life. \n Question: What refers to the union of a male and female of the same species for reproduction?",mating,asexual reproduction,theropod dinosaurs,,
"Support: The plasma membrane may have extensions, such as whip-like flagella or brush-like cilia. In single-celled organisms, like those shown in Figure below , the membrane extensions may help the organisms move. In multicellular organisms, the extensions have other functions. For example, the cilia on human lung cells sweep foreign particles and mucus toward the mouth and nose. \n Question: In single-celled organisms, plasma membrane extensions, such as whip-like flagella or brush-like cilia, aid in what?",movement,sensation,linnaean system,,
"Support: Fish show great diversity in body size. They range in length from about 8 millimeters (0.3 inches) to 16 meters (about 53 feet). Most are ectothermic and covered with scales. Scales protect fish from predators and parasites and reduce friction with the water. Multiple, overlapping scales provide a flexible covering that allows fish to move easily while swimming. \n Question: What broad category of animals is primarily ectothermic and covered with scales that facilitate swimming?",fish,armadillo,in cardiac tissue,,
"Support: Gastric Secretion The secretion of gastric juice is controlled by both nerves and hormones. Stimuli in the brain, stomach, and small intestine activate or inhibit gastric juice production. This is why the three phases of gastric secretion are called the cephalic, gastric, and intestinal phases (Figure 23.17). However, once gastric secretion begins, all three phases can occur simultaneously. \n Question: Stimuli in the brain, stomach, and small intestine activate or inhibit production of what secretion?",gastric juice,metabolic juice,the sun,,
"Support: CHAPTER SUMMARY 45.1 Population Demography Populations are individuals of a species that live in a particular habitat. Ecologists measure characteristics of populations: size, density, dispersion pattern, age structure, and sex ratio. Life tables are useful to calculate life expectancies of individual population members. Survivorship curves show the number of individuals surviving at each age interval plotted versus time. \n Question: What is the term for individuals of a species that live in a particular habitat?",population,family,white blood cells,,
"Support: Brain and spinal cord injuries most commonly occur because of car crashes or athletic activities. Fortunately, many injuries can be prevented by wearing seat belts and safety helmets (see Figure below ). Avoiding unnecessary risks, such as doing stunts on a bike or diving into shallow water, can also reduce the chances of brain and spinal cord injuries. \n Question: What are the two most common common ways that brain and spinal cord injuries occur?",car crashes and athletic activities,falls and surgical error,magnetic field,,
"Support: What happens if a substance needs assistance to move across or through the plasma membrane? Facilitated diffusion is the diffusion of solutes through transport proteins in the plasma membrane. Facilitated diffusion is a type of passive transport. Even though facilitated diffusion involves transport proteins, it is still passive transport because the solute is moving down the concentration gradient. \n Question: What do you call the diffusion of solutes through transport proteins in the plasma membrane?",facilitated diffusion,necessitated diffusion,understory,,
Support: Currents also flow deep below the surface of the ocean. Deep currents are caused by differences in density at the top and bottom. More dense water takes up less space than less dense water. It has the same mass but less volume. Water that is more dense sinks. Less dense water rises. What can make water more dense?. \n Question: What is caused by differences in density at the top and bottom of the ocean?,deep currents,shallow currents,frequency,,
Support: Some benthos live near vents on the deep ocean floor. Tubeworms are an example ( Figure below ). Scalding hot water pours out of the vents. The hot water contains chemicals that some specialized bacteria can use to make food. Tubeworms have the bacteria living inside them. The bacteria get protection and the tubeworms get some of the food. \n Question: Give an example of benthos that live near vents on the deep ocean floor.,tubeworms,amphipods,an aquifer,,
"Support: Figure 1.18 An atomic clock such as this one uses the vibrations of cesium atoms to keep time to a precision of better than a microsecond per year. The fundamental unit of time, the second, is based on such clocks. This image is looking down from the top of an atomic fountain nearly 30 feet tall! (credit: Steve Jurvetson/Flickr). \n Question: The fundamental unit of time, the second, is based on what type of clock?",atomic clock,quantum clock,gravity,,
"Support: When a sperm penetrates the egg, it triggers the egg to complete meiosis. The sperm also undergoes changes. Its tail falls off, and its nucleus fuses with the nucleus of the egg. The resulting cell, called a zygote, contains all the chromosomes needed for a new human organism. Half the chromosomes come from the egg and half from the sperm. \n Question: When a sperm penetrates the egg, it triggers the egg to complete what?",meiosis,mutations,two,,
"Support: Reactions can proceed by themselves if they are exergonic or exothermic, that is if they release energy. The associated free energy of the reaction is composed of two different thermodynamic quantities, enthalpy and entropy. Enthalpy is a measure of the total energy of a thermodynamic system. The change in enthalpy is positive in endothermic reactions, and negative in exothermic processes. \n Question: Enthalpy is a measure of the total energy of what kind of system?",thermodynamic,macroscopic,sex-linked genes,,
"Support: Much of the trash in the oceans is plastic. Many types of plastic do not degrade. Some break down into plastic molecules, but these can also be a pollutant. Plastic shopping bags are extremely abundant in the oceans. Since water runs from land into the sea, chemicals can end up in the sea. Pesticides, herbicides, and fertilizers are among the chemicals. \n Question: Most of the trash in the ocean is made of what material?",plastic,styrofoam,ancient prokaryotic,,
"Support: Collision theory states that chemical reactions occur when atoms, ions, or molecules collide. In other words, these species need to make contact with one another in order for a reaction to take place. Based on this concept, along with a couple of other key points, collision theory helps to explain why certain factors will influence the rate of a chemical reaction. \n Question: What states that chemical reactions occur when atoms, ions, or molecules collide?",collision theory,disturbance theory,renewable,,
"Support: The tRNA structure is a very important aspect in its role. Though the molecule folds into a 3-leaf clover structure, notice the anticodon arm in the lower segment of the molecule, with the amino acid attached at the opposite end of the molecule (acceptor stem). It is the anticodon that determines which codon in the mRNA the tRNA will bind to. \n Question: What determines which codon in the mrna the trna will bind to?",anticodon,gene,composition reaction,,
"Support: Floods are a natural part of the water cycle, but they can cause a lot of damage. Farms and homes may be lost, and people may die. In 1939, millions of people died in a flood in China. Although freshwater is needed to grow crops and just to live, too much freshwater in the same place at once can be deadly. \n Question: What natural part of the water cycle can cause damage and death?",floods,clouds,water,,
Support: You can tell other things from tree rings too. In a good year a tree will produce a wide ring. A summer drought will produce a smaller ring. These variations will appear in all trees in a region. The same pattern can be found in all the trees in the area. This pattern helps scientist to identify a particular time period. \n Question: What size of ring will a summer drought cause in a tree?,smaller,giant,sulfur oxide,,
"Support: When water freezes in a non-crystalline, amorphous form as frost, the water molecules are fixed in place, but not in a regular, repeating pattern. Frost and other amorphous solids are characterized by their unorganized and unpredictable structure. Because ice comes in both amorphous and crystalline forms, there are differences in the physical properties of ice such as its hardness and density. \n Question: What kind of solid is characterized by an unorganized and unpredictable structure?",amorphous,magnetic,electric circuits,,
"Support: Density describes how much matter is in a certain amount of space. Substances that have more matter packed into a given space have higher densities. The water in a drinking glass has the same density as the water in a bathtub or swimming pool. All substances have characteristic densities, which does not depend on how much of a substance you have. \n Question: What describes how much matter is in a certain amount of space?",density,volume,joints,,
"Support: We all start as a single cell and soon grow into an embryo. Notice the remarkable details beginning to form. The eyes, backbone, and limb buds are obvious. Think about the amazing complexity that must be going on inside the embryo, and the tremendous amount of growth and development still to come. So, yes, at one time we all looked similar. \n Question: We all start as a single cell and soon grow into what?",embryo,nucleus,sex hormones,,
"Support: Ionic compounds are compounds in which positive metal ions and negative nonmetal ions are joined by ionic bonds. In these compounds, the chemical symbol for the positive metal ion is written first, followed by the symbol for the negative nonmetal ion. The video at the following URL gives a fuller explanation of ionic compounds and their formulas: http://www. youtube. com/watch?v=vscoYh6m46M . \n Question: The chemical symbol of which ion is written first in ionic compounds?",positive metal ion,negative ion,activation energy,,
"Support: As for all animals, your body is made of four types of tissue: epidermal, muscle, nerve, and connective tissues. Plants, too, are built of tissues, but not surprisingly, their very different lifestyles derive from different kinds of tissues. All three types of plant cells are found in most plant tissues. Three major types of plant tissues are dermal, ground, and vascular tissues. \n Question: The body is made up of how many types of tissue?",four,five,the sun,,
"Support: Some vitamins are produced in the body. For example, vitamin D is made in the skin when it is exposed to sunlight. Vitamins B 12 and K are produced by bacteria that normally live inside the body. Most other vitamins must come from foods. Foods that are good sources of vitamins include whole grains, vegetables, fruits, and milk ( Table above ). \n Question: Being exposed to sunlight will produce what vitamin in the skin?",vitamin d,B-complex,mechanical waves,,
"Support: Lipids are one of four classes of biochemical compounds, which are compounds that make up living things and carry out life processes. (The other three classes of biochemical compounds are carbohydrates, proteins, and nucleic acids. ) Living things use lipids to store energy. Lipids are also the major components of cell membranes in living things. Types of lipids include fats and oils. \n Question: Name the missing call of biochemical compound: carbohydrates, proteins, nucleic acids.",lipids,enzymes,crust,,
"Support: Bears get their energy from their food. Brown bears eat a varied diet, from nuts and berries to fish and other animals. When bears eat a berry, they are obtaining energy that the plant originally captured from the sun. Even when a bear eats another animal, the energy in that animal ultimately came from eating a producer that captured the sun's energy. \n Question: Which is the ultimate energy source in a bear's food chain?",sun,decomposers,carbon,,
"Support: The female reproductive organs include the vagina, uterus, fallopian tubes, and ovaries ( Figure below ). The breasts are not shown in this figure. They are not considered reproductive organs, even though they are involved in reproduction. They contain mammary glands that give milk to feed a baby. The milk leaves the breast through the nipple when the baby sucks on it. \n Question: The breasts contain what to give milk to feed a baby?",mammary glands,sebaceous glands,carbon fixation,,
"Support: It was known that DNA is composed of nucleotides , each of which contains a nitrogen-containing base, a five-carbon sugar (deoxyribose), and a phosphate group. In these nucleotides, there is one of the four possible bases: adenine (A), guanine (G), cytosine (C), or thymine (T) ( Figure below ). Adenine and guanine are purine bases, and cytosine and thymine are pyrimidine bases. \n Question: What does the base of a nucleotide within dna consist of?",nitrogen,ribosomes,syphilis,,
Support: Symbiosis is a close relationship between two species in which at least one species benefits. Mutualism is a symbiotic relationship in which both species benefit. Commensalism is a symbiotic relationship in which one species benefits while the other species is not affected. Parasitism is a symbiotic relationship in which one species (the parasite) benefits while the other species (the host) is harmed. \n Question: What type of interspecies relationship involves one party being actively harmed?,parasitism,mosaicism,cell,,
"Support: Enzymes are extremely efficient in speeding up reactions. They can catalyze up to several million reactions per second. As a result, the difference in rates of biochemical reactions with and without enzymes may be enormous. A typical biochemical reaction might take hours or even days to occur under normal cellular conditions without an enzyme, but less than a second with an enzyme. \n Question: Enzymes in cellular reactions work to do what to the reaction?",speed it up,increase yield,sucrose,,
"Support: Major climate types are based on temperature and precipitation. Latitude plays an important role in determining the climate of a region. However, many other factors play a role in climate. Oceans and mountain ranges influence climate in the same ways worldwide ( Figure below ). You can see where the climate types are on the map, and then read about them below. \n Question: Latitude plays an important role in determining what in a region?",climate,drought,population density,,
"Support: Bacterial contamination of foods can lead to digestive problems, an illness known as food poisoning . Raw eggs and undercooked meats commonly carry the bacteria that can cause food poisoning. Food poisoning can be prevented by cooking meat thoroughly and washing surfaces that have been in contact with raw meat. Washing your hands before and after handling food also helps prevent contamination. \n Question: Bacterial contamination of foods can lead to digestive problems called what?",food poisoning,cancer,fish,,
"Support: By losing an electron, the sodium atom becomes a sodium ion. It now has more protons than electrons and a charge of +1. Positive ions such as sodium are given the same name as the element. The chemical symbol has a plus sign to distinguish the ion from an atom of the element. The symbol for a sodium ion is Na + . \n Question: Ions can be formed when atoms lose what other particles?",electrons,neutrons,glycolysis,,
"Support: All organisms must adapt to their environment in order to survive. This is true whether they live in water or on land. Most environments are not as extreme as the deep ocean where tube worms live. But they all have conditions that require adaptations. In this chapter, you will read about a wide variety of environments and the organisms that live in them. \n Question: All organisms must adapt to what in order to survive?",environment,natural,fibrous roots,,
"Support: Matter typically exists in one of three states: solid, liquid, or gas. The state of a given substance is a physical property. Some substances exist as gases at room temperature (such as oxygen and carbon dioxide), while others (like water and mercury metal) exist as liquids. Most metals exist as solids at room temperature. All substances can exist in any of these three states. \n Question: Most metals exist in which form at room temperature?",solids,gases,urinary,,
"Support: Pollination occurs when pollen is transferred from a male to female cone. If sperm then travel from the pollen to an egg so fertilization can occur, a diploid zygote results. The zygote develops into an embryo within a seed, which forms from the ovule inside the female cone. If the seed germinates, it may grow into a mature sporophyte tree, which repeats the cycle. \n Question: If pollination occurs, what does the zygote develop into?",an embryo,an ovum,zinc sulfide,,
"Support: In Iceland, the Mid-Atlantic Ridge is above sea level. It's the only place we can see a mid-ocean ridge out of the water. The Midlina Bridge connects two plates. On the west side is the North American plate. On the east side is the Eurasian plate. A mid-ocean ridge is where new crust is created. Eventually this spot will be beneath the Atlantic Ocean. \n Question: In iceland, the mid-atlantic ridge is above sea what?",level,atmosphere,ionic,,
"Support: Look at the topographic map of Stowe, Vermont ( Figure below ). There is a steep hill rising just to the right of the city of Stowe. You can tell this because the contour lines there are closely spaced. The contour lines also show that the hill has a sharp rise of about 200 feet. Then the slope becomes less steep toward the right. \n Question: Physical science is defined as the study of what?",matter & energy,light & matter,salt,,
"Support: This bottle of water models the semicircular canals in your ears. When you tip the bottle, the water moves up or down the sides of the bottle; when you tip your head, the liquid inside the semicircular canals moves up and down the sides of the canals. Tiny hair cells lining the canals sense the movement of liquid and send messages to the brain. \n Question: What senses the movement of liquid in ear canals?",hair cells,Ear Drum,sucrose,,
"Support: Cooling and crystallization. Deep within the Earth, temperatures can get hot enough to create magma. As magma cools, crystals grow, forming an igneous rock. The crystals grow larger if the magma cools slowly, as it does if it remains deep within the Earth. If the magma cools quickly, the crystals will be very small. When crystals form from magma it is called crystallization . \n Question: What is it called when crystals form from magma?",crystallization,sedimentation,elements,,
"Support: Bronchitis is an inflammation of the bronchi, the air passages that conduct air into the lungs. The bronchi become red and swollen with infection. Acute bronchitis is usually caused by viruses or bacteria, and may last several days or weeks. It is characterized by a cough that produces phlegm, or mucus. Symptoms include shortness of breath and wheezing. Acute bronchitis is usually treated with antibiotics. \n Question: What is the usual treatment for acute bronchitis?",antibiotics,surgery,methane,,
Support: Figure above also shows how the size of waves is measured. The highest point of a wave is the crest. The lowest point is the trough. The vertical distance between a crest and a trough is the height of the wave. Wave height is also called amplitude. The horizontal distance between two crests is the wavelength. Both amplitude and wavelength are measures of wave size. \n Question: The highest point of a wave is called?,crest,surge,capillaries,,
"Support: The light reactions occur in the first stage of photosynthesis. This stage takes place in the thylakoid membranes of the chloroplast. In the light reactions, energy from sunlight is absorbed by chlorophyll. This energy is temporarily transferred to two molecules: ATP and NADPH. These molecules are used to store the energy for the second stage of photosynthesis. The light reactions use water and produce oxygen. \n Question: Light reactions occur during which stage of photosynthesis?",first stage,intermediate stage,humidity,,
"Support: Spermatogonia lining the seminiferous tubule undergo mitosis to form primary spermatocytes , which are also diploid. The primary spermatocytes undergo the first meiotic division to form secondary spermatocytes , which are haploid. Spermatocytes make up the next layer of cells inside the seminiferous tubule. Finally, the secondary spermatocytes complete meiosis to form spermatids . Spermatids make up a third layer of cells in the tubule. \n Question: What do secondary spermatocytes form when completing meiosis?",spermatids,pores,cnidarians,,
"Support: Steels are a very important class of alloys. The many types of steels are primarily composed of iron, with various amounts of the elements carbon, chromium, manganese, nickel, molybdenum, and boron. Steels are widely used in building construction because of their strength, hardness, and resistance to corrosion. Most large modern structures like skyscrapers and stadiums are supported by a steel skeleton (see Figure below ). \n Question: What is the primary component of steel alloys?",iron,carbon,photosynthesis,,
"Support: Condensation occurs in your cells constantly. It occurs in the form of a chemical reaction. These condensation reactions involve the formation of a water molecule from two other molecules. Water forms when two molecules, such as amino acids or monosaccharides, are joined together. The amino acids join together to form peptides (or polypeptides or proteins) and the monosaccharides join together to form disaccharides or polysaccharides. \n Question: How often does condensation occur in your cells?",constantly,weekly,minerals,,
"Support: The magnitude, direction, and point of application of the force are incorporated into the definition of the physical quantity called torque. Torque is the rotational equivalent of a force. It is a measure of the effectiveness of a force in changing or accelerating a rotation (changing the angular velocity over a period of time). In equation form, the magnitude of torque is defined to be. \n Question: What is the rotational equivalent of a force?",torque,momentum,cell nucleus,,
"Support: Amphibians are vertebrates that exist in two worlds. They divide their time between freshwater and terrestrial habitats. They share a number of features with air-breathing lungfish, but they also differ from lungfish in many ways. One way they differ is their appendages. Amphibians are the first true tetrapods, or vertebrates with four limbs. Modern amphibians include frogs, salamanders, and caecilians, as shown Figure below . \n Question: Vertebrates with four limbs are also called what?",tetrapods,Amphibians,ball and socket,,
"Support: Ecologists look at many factors that help to describe a population. First, ecologists can measure the number of individuals that make up the population, known as population size . They can then determine the population density , which is the number of individuals of the same species in an area. Population density can be expressed as number per area , such as 20 mice/acre, or 50 rabbits/square mile. \n Question: How is population density expressed?",number per area,per arable land,lungs,,
